"filename", "language", "YAML", "C#", "XML", "JSON", "ASP.NET Razor", "CSS", "Docker", "Properties", "Markdown", "SCSS", "JavaScript", "Shell Script", "Batch", "Less", "comment", "blank", "total"
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.idea\.idea.eShoep\.idea\codeStyles\codeStyleConfig.xml", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.idea\.idea.eShoep\.idea\dataSources.xml", "XML", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.idea\.idea.eShoep\.idea\encodings.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.idea\.idea.eShoep\.idea\indexLayout.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.idea\.idea.eShoep\.idea\misc.xml", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.idea\.idea.eShoep\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.idea\.idea.eShoep\Docker\docker-compose.generated.override.yml", "YAML", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 118
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\.vs\eShoep\v17\DocumentLayout.json", "JSON", 0, 0, 0, 779, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 779
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\ApiGateWay\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\ApiGateWay\appsettings.local.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\Common.Messaging.csproj", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\Events\CartCheckoutEvent.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 24
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\Events\IntegrationEvent.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\MassTransit\Extentions.cs", "C#", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\bin\Debug\net8.0\Common.Messaging.deps.json", "JSON", 0, 0, 0, 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 307
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\Common.Messaging.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\Common.Messaging.csproj.nuget.g.props", "XML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\Common.Messaging.csproj.nuget.g.targets", "XML", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\Debug\net8.0\Common.Messaging.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 23
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\Debug\net8.0\Common.Messaging.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src\Common\Common.Messaging\obj\Debug\net8.0\Common.Messaging.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
