Date : 2024-10-29 12:06:09
Directory : d:\FULearning\fall24\2_PRN231\2_PRN231\eShoep\src
Total : 690 files,  215718 codes, 11275 comments, 35175 blanks, all 262168 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| CSS           |         48 |     69,501 |        354 |     17,515 |     87,370 |
| JSON          |        138 |     63,384 |          0 |         31 |     63,415 |
| JavaScript    |         43 |     44,118 |      9,751 |     12,372 |     66,241 |
| C#            |        273 |     13,700 |        925 |      2,378 |     17,003 |
| XML           |         84 |      8,357 |         31 |         86 |      8,474 |
| SCSS          |         15 |      7,235 |        195 |      1,404 |      8,834 |
| Less          |          1 |      4,295 |          2 |        943 |      5,240 |
| ASP.NET Razor |         58 |      4,012 |          9 |        237 |      4,258 |
| Properties    |         13 |        385 |          0 |         58 |        443 |
| YAML          |          3 |        316 |          1 |         27 |        344 |
| Markdown      |          5 |        264 |          0 |         91 |        355 |
| Docker        |          7 |        147 |          6 |         28 |        181 |
| Shell Script  |          1 |          2 |          1 |          3 |          6 |
| Batch         |          1 |          2 |          0 |          2 |          4 |
+---------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                                                                                              |        690 |    215,718 |     11,275 |     35,175 |    262,168 |
| . (Files)                                                                                                                                                                                                                                                      |          4 |        214 |          0 |         27 |        241 |
| .idea                                                                                                                                                                                                                                                          |          7 |        178 |          1 |          1 |        180 |
| .idea\.idea.eShoep                                                                                                                                                                                                                                             |          7 |        178 |          1 |          1 |        180 |
| .idea\.idea.eShoep\.idea                                                                                                                                                                                                                                       |          6 |         62 |          0 |          0 |         62 |
| .idea\.idea.eShoep\.idea (Files)                                                                                                                                                                                                                               |          5 |         57 |          0 |          0 |         57 |
| .idea\.idea.eShoep\.idea\codeStyles                                                                                                                                                                                                                            |          1 |          5 |          0 |          0 |          5 |
| .idea\.idea.eShoep\Docker                                                                                                                                                                                                                                      |          1 |        116 |          1 |          1 |        118 |
| .vs                                                                                                                                                                                                                                                            |          1 |        779 |          0 |          0 |        779 |
| .vs\eShoep                                                                                                                                                                                                                                                     |          1 |        779 |          0 |          0 |        779 |
| .vs\eShoep\v17                                                                                                                                                                                                                                                 |          1 |        779 |          0 |          0 |        779 |
| ApiGateWay                                                                                                                                                                                                                                                     |          2 |         29 |          0 |          4 |         33 |
| Common                                                                                                                                                                                                                                                         |         39 |      2,831 |         24 |         72 |      2,927 |
| Common\Common                                                                                                                                                                                                                                                  |         24 |      1,451 |         11 |         52 |      1,514 |
| Common\Common (Files)                                                                                                                                                                                                                                          |          1 |         15 |          0 |          4 |         19 |
| Common\Common.Messaging                                                                                                                                                                                                                                        |         15 |      1,380 |         13 |         20 |      1,413 |
| Common\Common.Messaging (Files)                                                                                                                                                                                                                                |          1 |         10 |          0 |          3 |         13 |
| Common\Common.Messaging\Events                                                                                                                                                                                                                                 |          2 |         26 |          2 |          4 |         32 |
| Common\Common.Messaging\MassTransit                                                                                                                                                                                                                            |          1 |         28 |          0 |          5 |         33 |
